symptoms,sentences
['Black stool'],"Hello, the stool is black to rule out gastrointestinal bleeding."
['allergy'],"Are there any drug allergies? Omeprazole, Daxi or something."
"['diarrhea', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn']","Do you have acid reflux, heartburn, nausea and vomiting? Bloating, diarrhea, constipation."
"['Bloating', 'Hiccup', 'Reflux']",Do you have hiccups and reflux acid water? Is it bloating?
['indigestion'],"It may be related to drugs, and it can also cause indigestion when you catch a cold. Rest and drink plenty of water. You can continue to take Jianweixiaoshi tablets, and don't eat the others."
['fever'],"Hello, see if you have a fever. Take your body temperature."
['cough'],This problem is not big. It’s okay if you don’t cough.
"['diarrhea', 'Gastrointestinal discomfort']","Hello, have you had similar symptoms before? Can stomach upset be accompanied by diarrhea? Do you have a normal delivery or a cesarean section?"
['Gastrointestinal discomfort'],Are you breastfeeding now? Do you have frequent stomach discomfort before giving birth?
"['Gastrointestinal discomfort', 'indigestion']","Can you have some gastritis and dyspepsia recently, you are currently breast-feeding, many medicines are not suitable for use. There may still be a physiological change, and you need to adapt slowly. Try to eat light and nourishing food to improve your symptoms. If your stomach is really upset, you can eat Daxi to relieve your symptoms."
['Reflux'],"There may also be reflux esophagitis, you can take some Daxi."
['stomach ache'],Which part of the abdominal pain is mainly?
['allergy'],Do you usually have allergies?
"['Bloating', 'exhaust']","Hello, I am glad to answer for you. Do you have a lot of bloating and fart?"
"['Gastrointestinal discomfort', 'indigestion']",Consider it is caused by indigestion. Why does the stomach feel uncomfortable?
"['stomach ache', 'Bloating']","Hello, no abdominal pain, no abdominal distension."
['Helicobacter infection'],"Hello, you can eat, Chinese and Western medicine can be used, whether there is Helicobacter pylori infection."
"['diarrhea', 'stomachache', 'Hiccup', 'Reflux', 'Heartburn']","Are there heartburn, acid reflux, belching, stomach pain, constipation, diarrhea?"
['Bloating'],Consider that you are a symptom of bloating caused by improper diet. It is recommended that you eat these two easy-to-digest soft foods.
"['diarrhea', 'stomach ache']",Do you have abdominal pain or diarrhea? What is the history of the disease in the past?
"['Bloating', 'stomachache', 'Reflux']","Okay, do you have bloating and acid reflux besides stomachache now?"
['Helicobacter infection'],"Lansoprazole and Daxi can be taken orally to relieve symptoms. In addition, if the recurrence occurs, it is recommended to check whether there is Helicobacter pylori infection. If so, it will be so, and radical treatment is required."
['Helicobacter infection'],"Helicobacter pylori can cause duodenal ulcers. You can do a blowing test. If there is a radical cure for the infection, the possibility of recurring symptoms is very small. It can be eaten."
"['Bloating', 'Hiccup', 'Reflux']",Do hiccups regurgitate acid water? Is it bloating?
['Helicobacter infection'],Carbon 13 is used to detect Helicobacter pylori. It is not the same as a gastroscope.
['indigestion'],"This condition of yours may be caused by gastritis, caused by indigestion."
['Helicobacter infection'],It is necessary to check again to see if Helicobacter pylori has been completely killed.
['Gastrointestinal discomfort'],"Hello, according to the situation you said, it should be considered that it is usually improper or irregular diet and gastrointestinal discomfort caused by lack of exercise. How long has this situation been? Irregular diet and schedule? How is the amount of exercise you usually do?"
['indigestion'],"OK. Normally, we must develop good eating and living habits. First, three meals a day must be eaten on time and eat well. Do not eat spicy foods and greasy foods, do not eat cold foods and difficult-to-digest foods, and do not overeating , Pay attention to a light diet, you can eat small meals."
['stomachache'],"Hello, how long has it been? Do you have stomach pain?"
"['diarrhea', 'Vomit']",How many times did you vomit? Diarrhea?
['stomach ache'],"Pay attention to whether it is appendicitis, enteritis abdominal pain is not fixed, and most of them are accompanied by digestive tract symptoms."
['stomach ache'],Rebound pain is usually obvious after peritonitis.
['Restless'],"Well, don't worry too much, the problem is not big."
['stomach ache'],"Urinary tract infections can cause abdominal pain. Use some anti-inflammatory, diuretic and pain-relieving drugs for symptomatic treatment."
"['stomach ache', 'Frequent urination', 'Urgency']",What is the specific location of abdominal pain? Is the pain severe? Do you have frequent urination and urgency and painful urination?
"['diarrhea', 'Bloating', 'fever', 'nausea', 'Vomit']","Do you have nausea, vomiting, bloating, fever, diarrhea, and diarrhea?"
['Reflux'],"From what you said, consider gastritis with mild reflux symptoms."
['Gastrointestinal disorders'],"Gastrointestinal dysfunction, from the perspective of traditional Chinese medicine, is a weak spleen and stomach. It is okay to insist on using probiotics."
['cough'],"Do you have symptoms of dry throat, itchy throat, or cough?"
"['diarrhea', 'stomach ache', 'nausea', 'Vomit']",Hello! Does the stomach hurt? Nausea and vomiting? diarrhea? Is menstruation normal?
"['fever', 'nausea']",Do you have fever or nausea?
['diarrhea'],You take montmorillonite powder for diarrhea.
['allergy'],What drug allergies did you have before?
['allergy'],"In this case, consider not to exclude the possibility of allergies. It is recommended to stop the drug. You change to cephalosporin."
['allergy'],"Do not take any medicine you have taken before, because you are not sure which caused the allergies. Buy cefixime and eat it. Plus montmorillonite powder."
['diarrhea'],"If the diarrhea improves, you can skip the montmorillonite powder."
['diarrhea'],"Montmorillonite powder is antidiarrheal, but the cause of your diarrhea is infection, and you need oral antibiotics to treat the cause."
"['cough', 'Sputum']",Have a cold? Cough and expectoration?
"['fever', 'Sore throat']",Fever and sore throat may be a respiratory infection. The weather has changed recently.
"['Chest pain', 'Sore throat']",Do you have a bowel movement? What color is it? Are you dizzy? There is no pain in the throat and chest.
['cough'],Have you been coughing recently?
"['cough', 'Chest pain']",Is chest pain pain when coughing or pressing pain?
['Fatigue'],"Have you felt any weight loss, dizziness, or fatigue?"
['Gastrointestinal discomfort'],How many days have your stomach upset?
"['stomach ache', 'Chest pain']",Is the stomach pain a pain under the chest or where?
"['stomach ache', 'Sputum']","Girl, with blood sputum and stomachache, it is best to go to the hospital."
['Black stool'],"If the stool turns black, contact me again."
['stomach ache'],Is there any stomach pain or something?
['Hiccup'],"Do you eat regularly, do you usually like to eat sweets? Hiccup?"
['indigestion'],"Hello, dyspepsia treatment is a long process,"
['Reflux'],"If it is caused by reflux, the medicines you drink are effective. If it is caused by pharyngitis, it is recommended that you drink some."
['allergy'],Are you allergic?
['allergy'],Are you allergic to cephalosporin?
['allergy'],Do not eat if you are allergic.
['allergy'],"You must not be allergic to eat it, dear."
"['allergy', 'allergy']",Are you allergic to amoxicillin? But Min can eat it.
"['diarrhea', 'nausea', 'Vomit']","Hello, does she have diarrhea? Is there nausea and vomiting?"
['Bloating'],Do you feel bloated?
"['Loose stool', 'Hiccup', 'Reflux', 'Heartburn']","Are there acid reflux, heartburn, belching? Are your stools loose?"
"['Bloating', 'stomachache']","Stomach acid, bloating, stomach pain?"
['diarrhea'],"Hello, how many times do you have diarrhea in a day?"
['Loose stool'],Is it stool like Xishui?
['diarrhea'],"Hmm, but I have diarrhea."
['stomach ache'],This is usually a pain in the upper left abdomen.
['diarrhea'],"Hello, are there any other discomforts? Diarrhea?"
['Cramps'],Acute gastroenteritis and gastrointestinal cramps caused by cold.
['indigestion'],There may be indigestion. What kind of medicine have you taken?
['Bloating'],Is it effective? How many days have you had bloating? Did you eat anything unclean?
['indigestion'],You can take it with domperidone for a little bit of indigestion.
['Cramps'],"Um, that's the gastric cramps, right?"
['Gastrointestinal discomfort'],"I think that no matter what the disease is, it must be clarified before treatment. I will not recommend that everyone with a bad stomach get a gastroscope. After all, gastroscope is also uncomfortable, but gastroscope is indeed the best way to diagnose."
['Reflux'],You think about gastroesophageal reflux this way.
"['diarrhea', 'stomach ache', 'Loose stool']",Does the stomach hurt? Was it found to be enteritis earlier? Is diarrhea watery or loose stools? Is there any unclean food in front of you?
"['stomach ache', 'Loose stool', 'Gastrointestinal discomfort', 'Sticky stool', 'Dysbacteriosis']","There is no need to use cephalosporin. Ofloxacin antibiotics are generally used for intestinal infections, namely enteritis. The effect of cephalosporin is not good, and your stools are thin and sticky, and there is no abdominal pain. It should not be enteritis, but gastrointestinal function. Good (intestinal flora imbalance), this situation can be treated with omeprazole, Zhengchangsheng, and Changyanning."
['Reflux'],You belong to gastroesophageal reflux disease.
"['diarrhea', 'stomach ache', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn', 'Frequent urination', 'Urgency']","Do you have acid reflux, heartburn, nausea and vomiting? Bloating, diarrhea, constipation? Low back pain? Frequent urination, urgency, painful urination."
['stomach ache'],Does the lower abdomen hurt?
['Reflux'],"Hello, according to your description, it is clear that improper diet stimulates the stomach and leads to acute gastritis and acid reflux. In this case, you can eat omeprazole and Starasu. The diet is temporarily light and liquid. Do not eat raw, cold, spicy food, and do not drink alcohol. , Coffee, don't stay up late, observe for 1-2 days, if you don't get better, then consider seeking medical attention."
['diarrhea'],Is it the diarrhea caused by eating spoiled food or eating raw and cold food?
['diarrhea'],"You can breastfeed, but pay attention to observe whether the baby has diarrhea."
['Blood in stool'],Do you have blood in the stool or pus or blood in the stool?
['Bowel'],Does the stomach gurgle?
"['indigestion', 'Gastrointestinal disorders']","Then I think you have irritable bowel syndrome, indigestion or gastrointestinal dysfunction."
"['stomach ache', 'Bloating']",Uh-huh! Is the abdominal pain obvious?
"['stomach ache', 'Bloating', 'Gastrointestinal disorders']","There is no obvious abdominal pain and bloating, consider intestinal dysfunction, regardless of inflammation!"
['Chills'],Do you have cold hands and feet?
['Loose stool'],"Taking into account the age factor, it is necessary to pay attention to the lack of food grains caused by the weakness of the spleen and stomach, and the stool is not formed."
['Gastrointestinal discomfort'],no. Many people have bad stomachs.
"['diarrhea', 'nausea']","Hello, are you still sick today? Diarrhea?"
"['nausea', 'Vomit', 'sense of hunger']","If there is no nausea and vomiting today, the symptoms are completely improved, and it is normal to feel hungry, then I would not dare to eat too much at once."
"['nausea', 'Vomit', 'sense of hunger']","Yesterday, nausea and vomiting damaged the gastric mucosa. Today, feeling hungry is still related to gastric mucosal damage."
['Vomit'],Was vomiting because of something inappropriate that I had eaten before?
"['stomach ache', 'Gastrointestinal discomfort']","Hello, according to what you said, consider that it should be gastrointestinal discomfort caused by improper diet or cold abdomen. How long has it been? How many bowel movements a day? Are there other discomforts such as abdominal pain?"
['Hiccup'],"Hmm, will it be better after hiccups?"
['indigestion'],"There are some dietary precautions for your reference. I hope it will help you a little. 1. Eat regularly and eat three meals regularly; chew slowly and refuse to swallow; three meals a day, with a balanced combination. 2. Try to eat less irritating foods such as peppers and raw garlic or spicy foods. 3. High-cholesterol foods such as: egg yolks, fatty meat, seafood, animal organs and other foods are not eaten or eaten less. 4. Eat gas-producing foods, like onions, as little as possible. It is advisable to eat less foods that are not easy to digest, such as persimmons. 5. Fresh fruits and vegetables, eat more, supplement the body's essential vitamins and protect the intestinal cellulose. 6. Pay attention to rest, try not to stay up late, adjust your mentality, and maintain a good mood. Hope to help you."
['anemia'],Do you have anemia?
"['Reflux', 'Heartburn']",Are there acid reflux heartburn?
